,aspirin,ibuprofen,acetaminophen,metformin,lisinopril,atorvastatin,omeprazole,amoxicillin,sertraline,fluoxetine,loratadine,metoprolol,gabapentin,prednisone,ciprofloxacin,warfarin,albuterol,hydrochlorothiazide,tramadol,duloxetine
aspirin,0.9999999999999997,0.8604761864669269,0.6207152685073317,0.016163793167765814,0.0706156729408737,0.025145539902965034,0.5993535178134424,0.027549159803164223,0.03930898527779015,0.049985843376853675,0.6635725547526227,0.06678328088833084,0.027870636511430697,0.09862749548725522,0.025730157978016522,0.07714040335964291,0.019949955642786885,0.0706156729408737,0.04193365608547707,0.03433874967820872
ibuprofen,0.8604761864669269,1.0,0.5084403941795611,0.01781890439496772,0.08156269424716509,0.05726087323509475,0.5348588696506579,0.02440363955699953,0.04048060428398972,0.04844872123392951,0.525287301341671,0.12736852860611853,0.025011168608558634,0.08234317703216906,0.0244579720229882,0.08435951354537599,0.020108117900760537,0.08156269424716509,0.042375088588272374,0.03254247823035704
acetaminophen,0.6207152685073317,0.5084403941795611,1.0000000000000002,0.023820448087293188,0.04855506107034469,0.03177544933998584,0.718906823223048,0.04372406151471359,0.03601004513170218,0.018096786804846676,0.8120381087784773,0.026948512348761024,0.021577840127563187,0.08293740626045637,0.01743480645982149,0.06280692820357325,0.007352184267649236,0.04855506107034469,0.04102011278140247,0.022376581146123977
metformin,0.016163793167765814,0.01781890439496772,0.023820448087293188,0.9999999999999996,0.1545302568019501,0.13724219827045603,0.02162244326813051,0.10527758182815651,0.14214618149578048,0.14389629872861792,0.005315380792814688,0.20069130803912663,0.18421180935972253,0.10820707665627059,0.15448396433881006,0.07666380303400647,0.08014228413287929,0.1545302568019501,0.13335502893865356,0.17377125796987605
lisinopril,0.0706156729408737,0.08156269424716509,0.04855506107034469,0.1545302568019501,0.9999999999999999,0.11904538208840956,0.07280655713359056,0.16122909655476483,0.1385062753904164,0.14085843231660414,0.022242689575424284,0.26038652265910844,0.15751355014972931,0.21764362596513306,0.2260658168516533,0.10665689381175318,0.08714439644896818,0.9999999999999999,0.16773116266170882,0.14363968004300276
atorvastatin,0.025145539902965034,0.05726087323509475,0.03177544933998584,0.13724219827045603,0.11904538208840956,1.0000000000000004,0.030560714449264656,0.09745990138250828,0.1172468702672861,0.15157956212507848,0.013584955066890614,0.16322490250983257,0.15979189250048612,0.10982558095077245,0.1383275572469706,0.1253454809459459,0.08361153429960444,0.11904538208840956,0.16150528245615356,0.13835328897471405
omeprazole,0.5993535178134424,0.5348588696506579,0.718906823223048,0.02162244326813051,0.07280655713359056,0.030560714449264656,1.0000000000000002,0.03360388161435266,0.06209202670097271,0.03269181779985701,0.6826033550864813,0.06059896292837716,0.045534015899050165,0.06999006222022067,0.03810990076664912,0.029520538021221242,0.012869963716142973,0.07280655713359056,0.058402657985249094,0.055956406379792094
amoxicillin,0.027549159803164223,0.02440363955699953,0.04372406151471359,0.10527758182815651,0.16122909655476483,0.09745990138250828,0.03360388161435266,1.0000000000000002,0.09143949377238285,0.13340699254330365,0.006419175961599976,0.2112064630568507,0.14497065953381494,0.13075708995260812,0.1992683244204021,0.08717976038399154,0.08580070621850377,0.16122909655476483,0.11419476165518547,0.11461892612413806
sertraline,0.03930898527779015,0.04048060428398972,0.03601004513170218,0.14214618149578048,0.1385062753904164,0.1172468702672861,0.06209202670097271,0.09143949377238285,1.0000000000000002,0.4070958894099359,0.0129150233140269,0.1681444543733962,0.1887987970926973,0.08833140879528395,0.14466963843398287,0.09544159779789603,0.09079600630125594,0.1385062753904164,0.22322832104681015,0.22502761492070975
fluoxetine,0.049985843376853675,0.04844872123392951,0.018096786804846676,0.14389629872861792,0.14085843231660414,0.15157956212507848,0.03269181779985701,0.13340699254330365,0.4070958894099359,1.0,0.015037466571792111,0.2478343235900621,0.21402552183305273,0.08116009308329475,0.17563442066012952,0.15586639310630607,0.11084957359261557,0.14085843231660414,0.1719797697865492,0.22389486404226056
loratadine,0.6635725547526227,0.525287301341671,0.8120381087784773,0.005315380792814688,0.022242689575424284,0.013584955066890614,0.6826033550864813,0.006419175961599976,0.0129150233140269,0.015037466571792111,1.0,0.03579957001266047,0.0072715897602713565,0.04783651371215643,0.026232613894997286,0.014216571874160802,0.004041328451655279,0.022242689575424284,0.017523971248763322,0.005152321001120477
metoprolol,0.06678328088833084,0.12736852860611853,0.026948512348761024,0.20069130803912663,0.26038652265910844,0.16322490250983257,0.06059896292837716,0.2112064630568507,0.1681444543733962,0.2478343235900621,0.03579957001266047,1.0,0.24546693478577183,0.14639402628652548,0.28329845336444964,0.15100981647079875,0.21469269089344217,0.26038652265910844,0.22945066155629804,0.19918187862525832
gabapentin,0.027870636511430697,0.025011168608558634,0.021577840127563187,0.18421180935972253,0.15751355014972931,0.15979189250048612,0.045534015899050165,0.14497065953381494,0.1887987970926973,0.21402552183305273,0.0072715897602713565,0.24546693478577183,1.0,0.09135116748966608,0.22136838011730728,0.10251730130302504,0.1287359394696301,0.15751355014972931,0.19006305174620322,0.2668152249374041
prednisone,0.09862749548725522,0.08234317703216906,0.08293740626045637,0.10820707665627059,0.21764362596513306,0.10982558095077245,0.06999006222022067,0.13075708995260812,0.08833140879528395,0.08116009308329475,0.04783651371215643,0.14639402628652548,0.09135116748966608,1.0,0.12662282713655348,0.1162269076083664,0.043217031095273604,0.21764362596513306,0.10516263001425336,0.09566312578892794
ciprofloxacin,0.025730157978016522,0.0244579720229882,0.01743480645982149,0.15448396433881006,0.2260658168516533,0.1383275572469706,0.03810990076664912,0.1992683244204021,0.14466963843398287,0.17563442066012952,0.026232613894997286,0.28329845336444964,0.22136838011730728,0.12662282713655348,0.9999999999999994,0.22538630122715192,0.09724998720424233,0.2260658168516533,0.16944258176716462,0.18884094778278418
